"","nj","nyc","app_date_d","pre","post","storeid","chain_id","center","crimbox","crime","drugcrime","propertycrime","ged","empgap","white","black","remover","noncomplier_store","balanced","response","response_date_d","daystoresponse","interview","cogroup_comb","cogroup_njnyc","post_cogroup_njnyc","white_cogroup_njnyc","ged_cogroup_njnyc","empgap_cogroup_njnyc","box_white","pre_white","post_white","white_nj","post_remover_ged","post_ged","remover_ged","post_remover_empgap","post_empgap","remover_empgap","post_remover_white","post_remover","remover_white","raerror","retail","num_stores","avg_salesvolume","avg_num_employees","retail_white","retail_post","retail_post_white","percblack","percwhite","tot_crime_rate","nocrimbox","nocrime_box","nocrime_pre","response_white","response_black","response_ged","response_hsd","response_empgap","response_noempgap"
"1785",1,0,2015-06-05,0,1,570,78,104,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,0,78,24,24,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.0637898668646812,0.841463387012482,50.734619140625,1,0,0,0,NA,NA,0,NA,0
"1786",1,0,2015-06-07,0,1,570,78,104,0,1,1,0,1,1,0,1,0,0,1,0,NA,NA,0,78,24,24,0,24,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.0637898668646812,0.841463387012482,50.734619140625,1,0,0,NA,0,0,NA,0,NA
"1787",1,0,2015-02-01,1,0,570,78,104,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,0,78,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,0,0,0,0.0637898668646812,0.841463387012482,50.734619140625,1,0,1,NA,0,0,NA,NA,0
"1788",1,0,2015-02-01,1,0,570,78,104,0,1,1,0,0,1,1,0,0,0,1,0,NA,NA,0,78,24,0,24,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,1,0,0,0.0637898668646812,0.841463387012482,50.734619140625,1,0,0,0,NA,NA,0,0,NA
"1789",1,0,2015-06-01,0,1,571,78,107,0,1,1,0,0,0,0,1,1,0,0,0,NA,NA,0,78,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.0500000007450581,0.675000011920929,14.5819902420044,1,0,0,NA,0,NA,0,NA,0
"1790",1,0,2015-06-01,0,1,571,78,107,0,0,0,0,1,1,1,0,1,0,0,0,NA,NA,0,78,25,25,25,25,25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.0500000007450581,0.675000011920929,14.5819902420044,1,0,0,0,NA,0,NA,0,NA
"1791",1,0,2015-05-11,0,1,572,78,117,0,1,0,1,0,1,0,1,1,0,1,1,20242,NA,0,78,25,25,0,0,25,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.0742115005850792,0.773654937744141,18.1497802734375,1,0,0,NA,1,NA,1,1,NA
"1792",1,0,2015-05-11,0,1,572,78,117,0,0,0,0,0,0,1,0,1,0,1,1,20242,NA,0,78,25,25,25,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.0742115005850792,0.773654937744141,18.1497802734375,1,0,0,1,NA,NA,1,NA,1
"1793",1,0,2015-02-01,1,0,572,78,117,1,0,0,0,0,0,1,0,1,0,1,1,20124,NA,0,78,25,0,25,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,22,12094.6363636364,62.1363636363636,1,0,0,0.0742115005850792,0.773654937744141,18.1497802734375,0,1,1,1,NA,NA,1,NA,1
"1794",1,0,2015-01-31,1,0,572,78,117,1,1,0,1,0,1,0,1,1,0,1,1,20124,NA,0,78,25,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,22,12094.6363636364,62.1363636363636,0,0,0,0.0742115005850792,0.773654937744141,18.1497802734375,0,0,0,NA,1,NA,1,1,NA
"1795",1,0,2015-05-11,0,1,573,78,109,0,1,0,1,1,1,1,0,1,0,1,0,NA,NA,0,78,25,25,25,25,25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.070983812212944,0.892901599407196,22.1926326751709,1,0,0,0,NA,0,NA,0,NA
"1796",1,0,2015-05-11,0,1,573,78,109,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,0,78,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.070983812212944,0.892901599407196,22.1926326751709,1,0,0,NA,0,NA,0,NA,0
"1797",1,0,2015-01-31,1,0,573,78,109,1,0,0,0,1,1,0,1,1,0,1,0,NA,NA,0,78,25,0,0,25,25,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,22,12094.6363636364,62.1363636363636,0,0,0,0.070983812212944,0.892901599407196,22.1926326751709,0,1,1,NA,0,0,NA,0,NA
"1798",1,0,2015-02-01,1,0,573,78,109,1,1,0,1,1,0,1,0,1,0,1,1,20122,NA,0,78,25,0,25,25,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,22,12094.6363636364,62.1363636363636,1,0,0,0.070983812212944,0.892901599407196,22.1926326751709,0,0,0,1,NA,1,NA,NA,1
"1799",1,0,2015-06-01,0,1,574,78,135,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,0,78,25,25,25,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0,1,19.2513771057129,1,0,0,0,NA,NA,0,NA,0
"1800",1,0,2015-05-29,0,1,574,78,135,0,1,0,1,0,1,0,1,1,0,0,0,NA,NA,0,78,25,25,0,0,25,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0,1,19.2513771057129,1,0,0,NA,0,NA,0,0,NA
"1801",1,0,2015-05-12,0,1,575,78,119,0,1,0,1,0,0,1,0,0,0,1,0,NA,NA,0,78,24,24,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.050993949174881,0.875108063220978,18.021463394165,1,0,0,0,NA,NA,0,NA,0
"1802",1,0,2015-05-12,0,1,575,78,119,0,0,0,0,1,1,0,1,0,0,1,0,NA,NA,0,78,24,24,0,24,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.050993949174881,0.875108063220978,18.021463394165,1,0,0,NA,0,0,NA,0,NA
